Name,Property Name,Price URL,Price Offers,Trial Offer
Infatica,Residential Proxy,,"Monthly Plan:
$96/8GB: $12/GB
$360/40GB: $9/GB
$700/100GB: $7/GB
$2,400/400GB: $6/GB
$3,500/1,000GB: $3.5/GB

Yearly Plan:
$922/96GB: $9.6/GB
$3,456/480GB: $7.2/GB
$6,720/1,200GB: $5.6/GB
$23,040/4,800GB: $4.8/GB
$33,600/12,000GB: $2.8/GB 
",3-day trial for $1.99
Infatica,Datacenter Proxy,,"$15/5 IPs: $3/IP
$100/1000 IPs: $3/IP
$300/3000 IPs: $0.1/IP
$500/5000 IPs: $0.1/IP
",
Infatica,Mobile Proxy,,"Monthly Plan:
$45/3GB: $15/GB
$130/10GB: $13/GB
$240/20GB: $12/GB
$500/50GB: $10/GB
$800/100GB: $8/GB

Yearly Plan:
$432/36GB: $12/GB
$1,248/120GB: $10.4/GB
$2,304/240GB: $9.6/GB
$4,800/600GB: $8/GB
$7,680/1200GB: $6.4/GB 
",3-day trial for $1.99
PacketStream,Residential Proxy,,"$50/50GB 
$100/100GB 
$250/250GB 
$500/500GB 
$1000/1TB ",
The Social Proxy,Mobile Proxy,,"Austria Proxies by Proxy Plan
2 Days: $23/IP
1 Week: $34/IP
Monthly: $89/IP
3 Month: $232/IP
6 Month: $397/IP
Yearly: $661/IP

Israel Proxies by Proxy Plan
2 Days: $23/IP
1 Week: $34/IP
Monthly: $89/IP
3 Month: $232/IP
6 Month: $397/IP
Yearly: $661/IP

UK Proxies by Proxy Plan
2 Days: $23/IP
1 Week: $34/IP
Monthly: $89/IP
3 Month: $232/IP
6 Month: $397/IP
Yearly: $661/IP

5G US by Proxy Plan
2 Days: $27/IP
1 Week: $50/IP
Monthly: $133/IP
3 Month: $331/IP
6 Month: $595/IP
Yearly: $1058/IP

Pay as you go Plan by Usage 
USA proxies: $23/GB
UK and Austria porxes: $20/GB
Israel proxes: $16/GB

Monthly Plan by Usage 
USA proxies: $19/GB
UK and Austria porxes: $17/GB
Israel proxes: $14/GB

Yearly Plan by Usage
USA proxies: $17/GB
UK and Austria porxes: $15/GB
Israel proxes: $12/GB

Rotating Proxies Pay as you go Plan
USA: $23/GB
UK and Austria: $20/GB
Israel proxes: $16/GB

Rotating Proxies Monthly Plan
USA: $19/GB
UK and Austria: $17/GB
Israel proxes: $14/GB

Rotating Proxies Yearly Plan
USA: $17/GB
UK and Austria: $15/GB
Israel proxes: $12/GB
",24-hour trial with €1 setup fee
ProxyWow,ISP Proxy,,"$25/Mo: $5/IP
$100/Mo: $4/IP
$300/Mo: $3/IP
$1000/Mo: $2.5/IP",
Airproxy,Mobile Proxy,,€67/proxy/30 days,72-hour tray at €9.9
ProxyGuys,Residential Proxy,,"$5/100MB
$25/500MB
$50/2GB
$100/5GB
$150/10GB
$250/25GB
$400/50GB
$600/100GB
$1000/400GB
",$5 for a trial including 100MB
ProxyGuys,Mobile Proxy,,"24 Hours Plan: $20/IP
Weekly Plan: $50/IP
Monthly Plan: $150/IP",1-hour trial
Nimbleway,Residential Proxy,,"Monthly Plan:
$600: $9.2/GB
$1,600: $7.5/GB
$3,600: $5.5/GB

Annually Plan:
$600: $8/GB
$1,600: $6.5/GB
$3,600: $4.8/GB
",22 GB free trial
Nimbleway,Web Unlocker,,"Monthly Plan:
$600: $2.5/CPM
$1,600: $2.2/CPM
$3,600: $1.8/CPM
 
Annually Plan:
$600: $2.2/CPM
$1,600: $1.9/CPM
$3,600: $1.6/CPM
",100 CPM free trial
Asocks,Residential Proxy,,$3 per GB,3-day free trial
Asocks,Mobile Proxy,,$3 per GB,3-day free trial
